	Sandomierz
2002.01	3.216
2002.02	2.803
2002.03	2.887
2002.04	
2002.05	2.983
2002.06	3.102
2002.07	3.313
2002.08	2.884
2002.09	2.997
2002.10	3.437
2002.11	3.121
2002.12	3.174
2003.01	2.839
2003.02	2.677
2003.03	31.008
2003.04	2.937
2003.05	2.79
2003.06	2.833
2003.07	2.978
2003.08	2.946
2003.09	2.869
2003.10	3.002
2003.11	2.98
2003.12	2.982
2004.01	2.764
2004.02	3.196
2004.03	3.08
2004.04	2.953
2004.05	2.767
2004.06	2.981
2004.07	3.286
2004.08	3.08
2004.09	13.126
2004.10	2.974
2004.11	3.134
2004.12	3.126
2005.01	2.915
2005.02	2.724
2005.03	2.931
2005.04	2.721
2005.05	3.121
2005.06	3
2005.07	2.871
2005.08	2.927
2005.09	2.944
2005.10	2.89
2005.11	2.978
2005.12	2.879
2006.01	2.128
2006.02	2.189
2006.03	2.435
2006.04	2.545
2006.05	2.286
2006.06	2.461
2006.07	2.099
2006.08	2.635
2006.09	2.83
2006.10	-20.848
2006.11	3.003
2006.12	3.084
2007.01	3.029
2007.02	3.205
2007.03	3.1
2007.04	3.023
2007.05	2.973
2007.06	3.078
