# liczba logowań w pewnym portalu randkowym (dane rzeczywiste)
data_logowania	Dzien_tyg	Liczba_logowan
15-03-05	2	1367
16-03-05	3	1685
17-03-05	4	1769
18-03-05	5	1793
19-03-05	6	1593
20-03-05	7	1017
21-03-05	1	1043
22-03-05	2	1288
23-03-05	3	1569
24-03-05	4	1583
25-03-05	5	1547
26-03-05	6	1282
27-03-05	7	880
28-03-05	1	752
29-03-05	2	927
30-03-05	3	1365
31-03-05	4	1483
1-04-05	5	1611
2-04-05	6	1545
3-04-05	7	1133
4-04-05	1	1025
5-04-05	2	1435
6-04-05	3	1814
7-04-05	4	1798
8-04-05	5	1934
9-04-05	6	1747
10-04-05	7	1250
11-04-05	1	1142
12-04-05	2	1518
13-04-05	3	1844
14-04-05	4	1956
15-04-05	5	1998
16-04-05	6	1738
17-04-05	7	1234
18-04-05	1	1090
19-04-05	2	1373
20-04-05	3	1812
21-04-05	4	1839
22-04-05	5	1775
23-04-05	6	1561
24-04-05	7	1088
25-04-05	1	975
26-04-05	2	1512
27-04-05	3	1931
28-04-05	4	1991
29-04-05	5	2009
30-04-05	6	1342
1-05-05	7	968
2-05-05	1	953
3-05-05	2	1324
4-05-05	3	1719
5-05-05	4	1615
6-05-05	5	1774
7-05-05	6	1788
8-05-05	7	1241
9-05-05	1	1193
10-05-05	2	1603
11-05-05	3	2104
12-05-05	4	2218
13-05-05	5	2279
14-05-05	6	1804
15-05-05	7	1346
16-05-05	1	1257
17-05-05	2	1662
18-05-05	3	2213
19-05-05	4	2175
20-05-05	5	2242
21-05-05	6	1962
22-05-05	7	1381
23-05-05	1	1141
24-05-05	2	1577
25-05-05	3	1986
26-05-05	4	2181
27-05-05	5	2222
28-05-05	6	1761
29-05-05	7	1303
30-05-05	1	1117
31-05-05	2	1494
1-06-05	3	1886
2-06-05	4	2252
3-06-05	5	2121
4-06-05	6	1886
5-06-05	7	1340
6-06-05	1	1251
7-06-05	2	1670
8-06-05	3	1999
9-06-05	4	2293
10-06-05	5	2272
11-06-05	6	1859
12-06-05	7	1352
13-06-05	1	1331
14-06-05	2	1726
15-06-05	3	2232
16-06-05	4	2318
17-06-05	5	2189
18-06-05	6	1990
19-06-05	7	1418
20-06-05	1	1239
21-06-05	2	1664
22-06-05	3	1996
23-06-05	4	1984
24-06-05	5	1987
25-06-05	6	1804
26-06-05	7	1287
27-06-05	1	1087
28-06-05	2	1635
29-06-05	3	1981
30-06-05	4	1951
1-07-05	5	1985
2-07-05	6	1657
3-07-05	7	1208
4-07-05	1	1082
5-07-05	2	1400
6-07-05	3	1760
7-07-05	4	1899
8-07-05	5	1786
9-07-05	6	1639
10-07-05	7	1172
11-07-05	1	1116
12-07-05	2	1589
13-07-05	3	1862
14-07-05	4	1993
15-07-05	5	1940
16-07-05	6	1720
17-07-05	7	1190
18-07-05	1	1105
19-07-05	2	1606
20-07-05	3	2014
21-07-05	4	2059
22-07-05	5	2146
23-07-05	6	1728
24-07-05	7	1262
25-07-05	1	1136
26-07-05	2	1612
27-07-05	3	1882
28-07-05	4	1957
29-07-05	5	2066
30-07-05	6	1746
31-07-05	7	1134
1-08-05	1	1086
2-08-05	2	1399
3-08-05	3	1770
4-08-05	4	1925
5-08-05	5	1924
6-08-05	6	1635
7-08-05	7	1150
8-08-05	1	1056
9-08-05	2	1552
10-08-05	3	2029
		
